"test data" "1 tBodyAcc-mean()-X" "121 tBodyGyro-mean()-X" "122 tBodyGyro-mean()-Y" "123 tBodyGyro-mean()-Z" "124 tBodyGyro-std()-X" "125 tBodyGyro-std()-Y" "126 tBodyGyro-std()-Z" "161 tBodyGyroJerk-mean()-X" "162 tBodyGyroJerk-mean()-Y" "163 tBodyGyroJerk-mean()-Z" "164 tBodyGyroJerk-std()-X" "165 tBodyGyroJerk-std()-Y" "166 tBodyGyroJerk-std()-Z" "2 tBodyAcc-mean()-Y" "201 tBodyAccMag-mean()" "202 tBodyAccMag-std()" "214 tGravityAccMag-mean()" "215 tGravityAccMag-std()" "227 tBodyAccJerkMag-mean()" "228 tBodyAccJerkMag-std()" "240 tBodyGyroMag-mean()" "241 tBodyGyroMag-std()" "253 tBodyGyroJerkMag-mean()" "254 tBodyGyroJerkMag-std()" "266 fBodyAcc-mean()-X" "267 fBodyAcc-mean()-Y" "268 fBodyAcc-mean()-Z" "269 fBodyAcc-std()-X" "270 fBodyAcc-std()-Y" "271 fBodyAcc-std()-Z" "294 fBodyAcc-meanFreq()-X" "295 fBodyAcc-meanFreq()-Y" "296 fBodyAcc-meanFreq()-Z" "3 tBodyAcc-mean()-Z" "345 fBodyAccJerk-mean()-X" "346 fBodyAccJerk-mean()-Y" "347 fBodyAccJerk-mean()-Z" "348 fBodyAccJerk-std()-X" "349 fBodyAccJerk-std()-Y" "350 fBodyAccJerk-std()-Z" "373 fBodyAccJerk-meanFreq()-X" "374 fBodyAccJerk-meanFreq()-Y" "375 fBodyAccJerk-meanFreq()-Z" "4 tBodyAcc-std()-X" "41 tGravityAcc-mean()-X" "42 tGravityAcc-mean()-Y" "424 fBodyGyro-mean()-X" "425 fBodyGyro-mean()-Y" "426 fBodyGyro-mean()-Z" "427 fBodyGyro-std()-X" "428 fBodyGyro-std()-Y" "429 fBodyGyro-std()-Z" "43 tGravityAcc-mean()-Z" "44 tGravityAcc-std()-X" "45 tGravityAcc-std()-Y" "452 fBodyGyro-meanFreq()-X" "453 fBodyGyro-meanFreq()-Y" "454 fBodyGyro-meanFreq()-Z" "46 tGravityAcc-std()-Z" "5 tBodyAcc-std()-Y" "503 fBodyAccMag-mean()" "504 fBodyAccMag-std()" "513 fBodyAccMag-meanFreq()" "516 fBodyBodyAccJerkMag-mean()" "517 fBodyBodyAccJerkMag-std()" "526 fBodyBodyAccJerkMag-meanFreq()" "529 fBodyBodyGyroMag-mean()" "530 fBodyBodyGyroMag-std()" "539 fBodyBodyGyroMag-meanFreq()" "542 fBodyBodyGyroJerkMag-mean()" "543 fBodyBodyGyroJerkMag-std()" "552 fBodyBodyGyroJerkMag-meanFreq()" "555 angle(tBodyAccMean,gravity)" "556 angle(tBodyAccJerkMean),gravityMean)" "557 angle(tBodyGyroMean,gravityMean)" "558 angle(tBodyGyroJerkMean,gravityMean)" "559 angle(X,gravityMean)" "560 angle(Y,gravityMean)" "561 angle(Z,gravityMean)" "6 tBodyAcc-std()-Z" "81 tBodyAccJerk-mean()-X" "82 tBodyAccJerk-mean()-Y" "83 tBodyAccJerk-mean()-Z" "84 tBodyAccJerk-std()-X" "85 tBodyAccJerk-std()-Y" "86 tBodyAccJerk-std()-Z"
"Subject 1 averages->" -0.338430900558184 -0.321200760200865 -0.332779972419107 -0.331609103355043 -0.340429462319193 -0.345791415485216 -0.325019205872824 -0.332688749021037 -0.331628203545363 -0.333205447118732 -0.341602468603055 -0.367882525540922 -0.342696148970029 -0.337532896186205 -0.345208516844323 -0.342818261537752 -0.357175688101816 -0.349638099402594 -0.331286365447695 -0.338639009822795 -0.327681847286801 -0.339894084978386 -0.335011320885303 -0.347973827923948 -0.345916605409481 -0.341482445880893 -0.34062169318951 -0.350687281290375 -0.352818292482997 -0.337118805695101 -0.354881729843141 -0.353469442497464 -0.341456674087262 -0.341134740685591 -0.360608843860144 -0.369335578643804 -0.350411326681527 -0.343996442912968 -0.355908934178098 -0.363702897134582 -0.343903372366859 -0.331206965025648 -0.336681989174063 -0.329246388594478 -0.324372629827666 -0.32888157701585 -0.346159128326225 -0.339020929379049 -0.353576325237983 -0.343357102781268 -0.333368076812968 -0.352608925274438 -0.326746369355908 -0.312083225915677 -0.331948378821003 -0.352458761615533 -0.335955010134582 -0.346042565119597 -0.343425788007406 -0.315404757311643 -0.332690039862824 -0.337078062304236 -0.342741686176715 -0.320738875455303 -0.32392975665438 -0.330972701528818 -0.310674182824496 -0.328198069415764 -0.314257753117867 -0.321990178465158 -0.320804004905476 -0.326064306854697 -0.337712412018156 -0.324174828621585 -0.331935728429971 -0.332420269603228 -0.320905224289424 -0.319615565325216 -0.341180357712767 -0.300615274064755 -0.334195647466282 -0.331568322760231 -0.336569795832277 -0.340096563698559 -0.328726386378674 -0.327554809763401
"Subject 2 averages->" -0.374583993035497 -0.380226551024503 -0.3811486239 -0.377758429581788 -0.387463540551656 -0.373452937583841 -0.381268143191523 -0.375203298406391 -0.384338779136424 -0.372037533095629 -0.365994218189735 -0.362880566554305 -0.369921608662351 -0.370487282539404 -0.379884459306291 -0.375192396872517 -0.359453650684901 -0.364955393791391 -0.362302802045795 -0.358597571442384 -0.355261600588742 -0.347746832384106 -0.356006363893709 -0.378589129776159 -0.36767224119104 -0.348181966615497 -0.363240151034007 -0.361860506584768 -0.36927709120298 -0.383160042270861 -0.36666288529298 -0.368067107890728 -0.366623926134437 -0.37235082426255 -0.359750806111258 -0.375147208996689 -0.374471746492715 -0.359908105723841 -0.358592223311291 -0.356013807021854 -0.378158218822848 -0.378177163874834 -0.359570660915563 -0.376875914282781 -0.391580769584338 -0.386717618765695 -0.372039557137748 -0.36142031095298 -0.354110325365 -0.368250709772517 -0.366060152925993 -0.364398825915166 -0.387636922224934 -0.381202670439897 -0.376409426207417 -0.352453831528709 -0.360412505824536 -0.369133144504172 -0.375867009567682 -0.383049323650033 -0.377865792565232 -0.375892204923874 -0.377342468779139 -0.380437066706954 -0.364825113682781 -0.366530187943775 -0.364685295007914 -0.35697679554106 -0.366173167668543 -0.370726280608609 -0.38032473384106 -0.374867966948722 -0.374373244569536 -0.379289504061371 -0.381335276606523 -0.383441782906954 -0.376421161674834 -0.362210473591788 -0.383410704718543 -0.388290142495695 -0.350871621568212 -0.359370490909934 -0.378699752632517 -0.368587491602649 -0.374074907121192 -0.374621780875497
"Subject 3 averages->" -0.403025647814633 -0.415515320591085 -0.402931201606745 -0.415699779624633 -0.409790657947801 -0.406778491575161 -0.422507916075073 -0.407020997802346 -0.400226303299707 -0.416205561041642 -0.409801401668622 -0.411636688503812 -0.41174000207824 -0.395660891321581 -0.400708392506158 -0.420391969687243 -0.405990318235777 -0.401589790242522 -0.42273895448563 -0.427675544676569 -0.42300043236217 -0.406186746115249 -0.398353719329003 -0.418586104867742 -0.422085886405777 -0.420880391493871 -0.433950812970968 -0.416665738370499 -0.425271744270674 -0.432192167945455 -0.434367204842229 -0.431743423958944 -0.428396061529883 -0.388542267202346 -0.418526723424249 -0.417539300059531 -0.422834065333021 -0.414845703607331 -0.428363147717273 -0.424933109349853 -0.41329354910176 -0.427166102519648 -0.415530198334311 -0.402247552248387 -0.400483362785161 -0.393105197754839 -0.417680535790059 -0.433375816922581 -0.415541234395513 -0.41505109368739 -0.414500738792962 -0.427841772866276 -0.39836175275783 -0.40527920341349 -0.404864241830499 -0.409545221730792 -0.415982885921144 -0.408841665637214 -0.404619624398446 -0.399610383617361 -0.409056494593842 -0.415746834985425 -0.41743878317138 -0.42111654042434 -0.430838387709091 -0.405839210603226 -0.402675399999326 -0.401933058466276 -0.40386605950544 -0.420149725978886 -0.402853242930792 -0.395229252324047 -0.387749360698827 -0.395354610581701 -0.416874119653695 -0.390352865135601 -0.411097933395513 -0.420193911987683 -0.392054814309384 -0.386889650150733 -0.396223120880645 -0.39200538660783 -0.396514624965103 -0.409981670267155 -0.404569007838475 -0.413554596560997
"Subject 4 averages->" -0.410915890631073 -0.40693167007735 -0.407676566974259 -0.409569786639621 -0.411558281121136 -0.420862027733123 -0.427940844172555 -0.4120718081653 -0.442530963022082 -0.418257594220189 -0.420573012784984 -0.428732089639306 -0.422682556608467 -0.418093169548265 -0.425524736014196 -0.426102978698332 -0.414370208483785 -0.427453134138801 -0.428307266929653 -0.414229006606467 -0.399094407314479 -0.415513145937792 -0.428924843941325 -0.417766519640189 -0.427668617428044 -0.43801264761571 -0.420683352981041 -0.417352021484826 -0.425757456998738 -0.413387032023438 -0.424973117451735 -0.421377888415457 -0.412024346431451 -0.42320545135205 -0.407865169158991 -0.410700085518927 -0.420123195587066 -0.440241479079401 -0.42495909355183 -0.428392506019558 -0.431316625662533 -0.422045821758517 -0.422737825954259 -0.429463466893871 -0.421577069821451 -0.427532912558019 -0.432723214614826 -0.421923094099369 -0.431875839991514 -0.420919839297476 -0.42104528768265 -0.444930689839716 -0.42104585295836 -0.409570676377256 -0.415315486705741 -0.441082264235867 -0.442436262927445 -0.422739747435331 -0.419177293355363 -0.413277483327886 -0.427924444371293 -0.426873677278549 -0.435359408205994 -0.425072960807886 -0.413168082500347 -0.438325434997382 -0.431477274872555 -0.434807070607571 -0.441167393068644 -0.42420252406976 -0.423850987844132 -0.437748686625237 -0.426957395218612 -0.432425290568139 -0.42679351935489 -0.438269839446909 -0.432798754976372 -0.437788416141388 -0.428526178696845 -0.400031351670978 -0.399893635814921 -0.415029744618454 -0.401947021599968 -0.414396039675994 -0.416358164636845 -0.426678124804132
"Subject 5 averages->" -0.356784007182119 -0.359561897332371 -0.368545845513344 -0.372374134250331 -0.371530748628477 -0.365581964430894 -0.387808010558775 -0.383279560739901 -0.380890731877815 -0.393429052543709 -0.372269439486093 -0.378112673010265 -0.384406955214238 -0.376252297236424 -0.390512184036093 -0.401955880712318 -0.398676853486391 -0.396679872491722 -0.387039572028146 -0.389892687720861 -0.390276392878278 -0.383538593662583 -0.371440373654669 -0.378402573119868 -0.379200440556821 -0.379321500469742 -0.390242176775828 -0.383779044983444 -0.382559144651093 -0.39256122451457 -0.382798723766854 -0.394701082385762 -0.408725300963245 -0.369062879839073 -0.386896577366623 -0.386040213487914 -0.385565278339172 -0.384460883356556 -0.398025073190728 -0.358594683535099 -0.371933441788212 -0.378158408495033 -0.366357553925828 -0.371772213858278 -0.383375544421027 -0.386752492358278 -0.375264368244834 -0.369443173718775 -0.350085878151325 -0.371992421913576 -0.389874212921854 -0.375604436613576 -0.385042769664238 -0.387999160563709 -0.389699781877715 -0.398492008314238 -0.382915683197351 -0.373263635034371 -0.373677324388079 -0.36862242819 -0.391465863690728 -0.380087673834139 -0.379235247343709 -0.361209924695837 -0.37205430235298 -0.380653283364901 -0.369926019618212 -0.388791551479801 -0.384038876773841 -0.363582048343377 -0.383363092539868 -0.372782397414901 -0.365314896474414 -0.374140532170861 -0.363054503078477 -0.35596656077649 -0.370253062218212 -0.36425478752351 -0.353306168525066 -0.370939968384901 -0.376956661160596 -0.39041989920298 -0.393679456550993 -0.379225171053642 -0.393213988511358 -0.384117099277815
"Subject 6 averages->" -0.364352153603569 -0.351212635699077 -0.357236083084923 -0.357995668143877 -0.362329953147631 -0.364655629584769 -0.342476806277231 -0.347108294318554 -0.359726451616031 -0.331708199919692 -0.337011325063077 -0.335191899581231 -0.324343397765354 -0.370014077724215 -0.345234617544123 -0.330266997100923 -0.325559323216462 -0.333325686006769 -0.334282026545877 -0.329753013527385 -0.322216048992062 -0.326103120429231 -0.330269096451692 -0.329590903547077 -0.337808328073255 -0.337523987487015 -0.331728905124615 -0.3250951711952 -0.343309620109508 -0.347951173938369 -0.320797767204308 -0.343393550649969 -0.323425376931446 -0.376700895205846 -0.336828254809231 -0.343228992641538 -0.349357363340277 -0.344779409794154 -0.353809885980092 -0.336932438511846 -0.354006377736769 -0.347763689826462 -0.329758580976615 -0.385431854691908 -0.347982785987108 -0.365136709923385 -0.353787255593815 -0.355784108364 -0.335026348319138 -0.343997433798431 -0.353808900297538 -0.341307444270246 -0.370736396988954 -0.373304674686255 -0.359024361330738 -0.341141175474462 -0.339781783449231 -0.350235941723046 -0.358239937056492 -0.366413471913231 -0.341089234597231 -0.348411109259692 -0.331485545764092 -0.347125723206431 -0.348584939100831 -0.360435964133662 -0.350474395092 -0.350996468029723 -0.332671665109846 -0.342256839946738 -0.343954711813846 -0.345870468716308 -0.330592133011077 -0.340795217170738 -0.359748598479846 -0.350429325812 -0.344179548480308 -0.351401503327138 -0.368285133234462 -0.353434940403077 -0.370072020444585 -0.360840557132031 -0.370541073178031 -0.365596036417231 -0.360052024697846 -0.361241320223723
"Subject 7 averages->" -0.374901962053247 -0.366842978504545 -0.38500895437711 -0.36488902691698 -0.361392457824351 -0.365803069651623 -0.349535321378247 -0.362438718897162 -0.360605814755844 -0.382207540944091 -0.380049396323052 -0.36525303109039 -0.379701437511364 -0.380278416267532 -0.368760262418961 -0.363943814612338 -0.384874284853247 -0.375863530453896 -0.387326742909058 -0.384899234501039 -0.383051272288961 -0.385592426604545 -0.380155723405812 -0.361687373971234 -0.370645783079221 -0.380344129402792 -0.385101064993377 -0.387226098670373 -0.384910263654968 -0.380077679076331 -0.378435424740584 -0.371290043085779 -0.384058452815097 -0.397851803578516 -0.393594146156494 -0.39239321610851 -0.396102943207208 -0.394787928772078 -0.383328330085714 -0.391478615623279 -0.397869612144805 -0.394978516272305 -0.399468155382143 -0.398506088638961 -0.377457518059188 -0.374064458014935 -0.412679079471039 -0.397878558819156 -0.388588197753149 -0.382887986522078 -0.391737656824675 -0.394092086607468 -0.365277351790292 -0.380393195705195 -0.37244095534763 -0.370952500994805 -0.394622200361558 -0.407748938556494 -0.378912665893474 -0.385629263261364 -0.39632549036526 -0.4019958030255 -0.395047188965584 -0.395093097075649 -0.398645613661364 -0.421487318256721 -0.406044619543182 -0.403735806177565 -0.393072229111364 -0.39407400162987 -0.400670897426104 -0.400889640408214 -0.399626937008117 -0.396007032587662 -0.399258810674318 -0.390100675453247 -0.387269732886623 -0.382312189292857 -0.355338932771786 -0.390025716520779 -0.390712104424351 -0.380966506572078 -0.377259436586364 -0.360390033425 -0.369338878212338 -0.379868677954221
"Subject 8 averages->" -0.356275547206263 -0.355366376570818 -0.336837660579537 -0.346311982234331 -0.341109994187189 -0.35110130702847 -0.35119800957758 -0.336664378469964 -0.324308386969751 -0.352870955661708 -0.353051006117438 -0.348458815034164 -0.340151147399644 -0.360437781271744 -0.367051810487082 -0.35767936007089 -0.357104139241993 -0.35865946246605 -0.368601489724164 -0.365453599898932 -0.373742450927046 -0.354987545988826 -0.328178559828826 -0.340160952721708 -0.329534462634947 -0.349033704801779 -0.347975990763701 -0.361443031128114 -0.36063295432395 -0.338880136738434 -0.344409863314591 -0.343196781246335 -0.329605019530605 -0.352943185795694 -0.352648815816299 -0.361831731381352 -0.363290125596762 -0.342009144181495 -0.348563732298327 -0.340914375346263 -0.361662806623132 -0.35584135539573 -0.352818754245196 -0.3386584925879 -0.346535558703203 -0.355165968986477 -0.346846124988256 -0.335481785031673 -0.352460269740214 -0.364790384779431 -0.350344084984342 -0.349799296594591 -0.34687347822242 -0.358028576870107 -0.349544936091174 -0.346342949562313 -0.353153497146619 -0.355134865869751 -0.343856576663701 -0.348641446623488 -0.349516408831673 -0.3426759865479 -0.352864821080071 -0.347758658461815 -0.353143471199395 -0.364452729630249 -0.345604413301068 -0.354994908985053 -0.35498551949758 -0.351275229677117 -0.346502863270819 -0.357993093252278 -0.362632824413879 -0.368914132945825 -0.360300889675089 -0.3620014731 -0.346487525990036 -0.351244656288256 -0.340242864006406 -0.358946467220996 -0.339919346186335 -0.341815134343416 -0.34711647097758 -0.366281831141637 -0.344085588028114 -0.34741318673637
"Subject 9 averages->" -0.397339725361076 -0.403403668097569 -0.4105408632125 -0.415191000184132 -0.409648365307222 -0.414606541249306 -0.408234813134931 -0.421657218363542 -0.420409432073993 -0.440235647319444 -0.417537801475 -0.413769197100347 -0.4287991438875 -0.403645690026042 -0.418920118881736 -0.408051476636653 -0.410213645717736 -0.404002725591979 -0.409103040583993 -0.401995186738681 -0.394879064152431 -0.400420370049306 -0.407345484663889 -0.402490419283333 -0.413509832975347 -0.40711551579941 -0.414132911590833 -0.413118347637292 -0.389440885655715 -0.410398316162257 -0.398470939441319 -0.416037666126042 -0.401080536144444 -0.393842300803528 -0.407789976818403 -0.402063275613542 -0.403788974023958 -0.404037558330729 -0.391177925153681 -0.394741890490625 -0.404642221134757 -0.403105428160556 -0.385715053341319 -0.390983240045139 -0.409889549608681 -0.405284575162431 -0.409178146379479 -0.400628745782917 -0.409347273474306 -0.393726804253333 -0.403698567608681 -0.412730329843885 -0.416205293015243 -0.428080162893819 -0.435558639819969 -0.407609533247569 -0.388093075050208 -0.392493471395486 -0.415986463497118 -0.409276111102431 -0.420497134439583 -0.423452520454167 -0.403363360193333 -0.398348615182639 -0.393457763620833 -0.412702136453472 -0.404309092667153 -0.389674479970927 -0.415726834533333 -0.398027625833333 -0.401808742575 -0.410899034846493 -0.40562626879816 -0.399941384848958 -0.399004211840764 -0.386061753331944 -0.397568709099097 -0.397476460786632 -0.413123884271111 -0.406794430827361 -0.41493722873434 -0.424718123824653 -0.411367168189583 -0.407925081501389 -0.415300703429167 -0.403795210201042
"Subject 10 averages->" -0.373691716624762 -0.358387491013707 -0.377135045853061 -0.36847376132381 -0.36782989770034 -0.364099866341837 -0.36349238872449 -0.360012923165986 -0.375670230368708 -0.385700484862925 -0.379169108488571 -0.390412862351088 -0.39215308188932 -0.36019687277568 -0.389142268414626 -0.375068035801905 -0.372572233949218 -0.388765842163946 -0.390234943631531 -0.383318161841837 -0.365068601267378 -0.388800808531973 -0.365929225993878 -0.36415093094934 -0.387519677643616 -0.394779196395578 -0.380289670326871 -0.369134754649286 -0.353748365664048 -0.362994965451531 -0.377743553506361 -0.372452512577551 -0.379155505511905 -0.358821605382993 -0.359030835186939 -0.34146914230119 -0.365629746465306 -0.374350525742925 -0.365060228468708 -0.371141563878401 -0.37630225119966 -0.370214481078707 -0.37535239104949 -0.376896737527891 -0.355992197162609 -0.355741445765638 -0.382436887463503 -0.364344060806463 -0.364395697594558 -0.37378336136017 -0.354418840002721 -0.353507274664286 -0.360599758501361 -0.355446635021769 -0.362801283795316 -0.385720545983333 -0.37763106002619 -0.35959441009932 -0.359783743459082 -0.366123240737075 -0.372003980900918 -0.372183491864398 -0.369478073803061 -0.362663824976769 -0.349487079978231 -0.34390608231701 -0.369304801487245 -0.372430698715306 -0.354582778963946 -0.365207006142245 -0.347818946541497 -0.342071696843197 -0.360407133972789 -0.382403628543673 -0.364866087429592 -0.364817952292857 -0.371696112301619 -0.372425903611939 -0.363700545793742 -0.363534099932313 -0.344716199872619 -0.351586882307823 -0.34470229808965 -0.35256057102619 -0.370164339839082 -0.351214096232449
